RelativePath	ProcCount	Procs
HO/b_ClientCKYCR_V1.aspx	23	pr_b_getcountryjs;pr_c_updatelnbankdirreldet;pr_g_clienttdsstatus;pr_g_dulicatedetails;pr_g_getcity;pr_g_getglobalclientbyid;pr_g_saveclientmodificationlog;pr_g_savelocalclient;pr_g_sb_getglobalclientname;pr_g_sb_getglobalclientnameforkyc;pr_kyc_validategaurdiandetails;pr_kyc_validateglobalclientdocuploaded;pr_kyc_validateguardianclientdetails;pr_kyc_validaterelatedpersonnonindiviual;pr_util_execqueryforrecsel;pr_x_getaccforsmschargeclientwise;pr_x_getcitylistjs;pr_x_getclientsforproprietor;pr_x_getdistrictlistjs;pr_x_getglobalclient;pr_x_getglobalclientgaurdian;pr_x_getstatelistjs;pr_x_gettalukalistjs
HO/b_ClientCKYCR_V3.aspx	41	pr_b_getcountryjs;pr_c_updatelnbankdirreldet;pr_g_aadhaarpanverificationlog;pr_g_clienttdsstatus;pr_g_customeronboarddetailslog;pr_g_documentsverificationlog;pr_g_dulicatedetails;pr_g_getaddressdetails;pr_g_getcity;pr_g_getglobalclientbyid;pr_g_mobchangesmsgen;pr_g_saveclientmodificationlog;pr_g_savelocalclient;pr_g_sb_getglobalclientname;pr_g_sb_getglobalclientnameforkyc;pr_g_validateandgetdatapostalcode;pr_g_validateandinsertaddress;pr_g_validateemaildomain;pr_kyc_getclientlocationdetails;pr_kyc_getdownloadeddetails;pr_kyc_isckycdocmandatory;pr_kyc_newglobalclientid;pr_kyc_passdownloadbatchitem;pr_kyc_updatememberinfo;pr_kyc_uploaddocdetails;pr_kyc_validateduplicatedocrefno;pr_kyc_validategaurdiandetails;pr_kyc_validateglobalclientdocuploaded;pr_kyc_validateglobalclientstatus;pr_kyc_validateguardianclientdetails;pr_kyc_validaterelatedpersonnonindiviual;pr_util_execqueryforrecsel;pr_x_getaccforsmschargeclientwise;pr_x_getcitylistjs;pr_x_getclientsforproprietor;pr_x_getdistrictlistjs;pr_x_getglobalclient;pr_x_getglobalclientgaurdian;pr_x_getstatelistjs;pr_x_gettalukalistjs;pr_x_validatepanapilog
HO/b_ClientV1.aspx	12	pr_c_updatelnbankdirreldet;pr_g_clienttdsstatus;pr_g_dulicatedetails;pr_g_getcity;pr_g_getglobalclientbyid;pr_g_saveclientmodificationlog;pr_g_savelocalclient;pr_g_sb_getglobalclientname;pr_g_updatesmsregisteredaccountcons;pr_x_getaccforsmschargeclientwise;pr_x_getglobalclient;pr_x_getglobalclientgaurdian
HO/b_clientv2.aspx	2	pr_b_saveclientjs;pr_b_saveclientrekycdata
HO/b_CTSSubMemberBank.aspx	2	pr_b_sb_getctssubmemberbank;pr_x_ctssubmemberbanksave
HO/b_GstExcludeGL.aspx	2	pr_b_gstexcludegl;pr_b_gstexcludegl_search
HO/b_IbtLimitMapping.aspx	1	pr_b_sb_getibtmapping
HO/b_IMPSUPILimit.aspx	3	pr_b_;pr_b_impsupilimit;pr_b_impsupilimit_search
HO/b_PigmyIntCommChart.aspx	1	pr_b_savepigmyintcommchart
HO/b_PigmyInterestSlab.aspx	1	pr_b_sb_pigmyinterestslab
HO/b_RiskCategory.aspx	2	pr_b_riskcategorysave;pr_b_sb_getriskcategory
HO/BankVariableConfig.aspx	2	pr_b_loadbankvariableconfigjs;pr_b_savebankvariableconfigjs
HO/BranchVariableConfig.aspx	2	pr_b_loadbranchvariableconfigjs;pr_b_savebranchvariableconfigjs
HO/DeductMinBalHeadMap.aspx	1	pr_g_getdeductminbalheadmap
HO/g_BlackListedDomain.aspx	2	pr_g_blacklisteddomain;pr_sb_g_getblacklisteddomain
HO/g_ClientGroup.aspx	3	pr_b_ornamentimage;pr_c_sb_clientgroupmastersearch;pr_x_getglobalclient
HO/g_ClientIncomeDet.aspx	1	pr_x_getglobalclient
HO/g_CustomerOnBoarding.aspx	1	pr_b_getdataforcontrolsaccountjs
HO/g_PigmyCommisionMapping.aspx	3	pr_g_savepigmmycommissionmapping;pr_g_savepigmycommisionmappingdetailsslab;pr_g_sb_pigmycommisionmapping
HO/GlobalClientDocAttach.aspx	3	pr_g_sb_getclientdocmap;pr_g_sb_getunpassedattchdoc;pr_x_getglobalclient
HO/GSTTransactionDetail.aspx	1	pr_x_getincomegsttransview
HO/KYCClientPopup.aspx	4	pr_g_dulicatedetails;pr_g_getcity;pr_g_getglobalclientbyid;pr_g_savelocalclient
HO/KYCClientPopup_V1.aspx	1	pr_g_getcity
HO/MbankGlobalAccLimit.aspx	3	pr_g_getconsbranches;pr_mbank_getamttranlimit;pr_mbank_saveglobalacclimit
HO/PigmyContraMaping.aspx	2	pr_b_getcontraactivitymapping;pr_b_savepigmycontramapping
HO/SMSAutoConfig.aspx	1	pr_sms_autoconfig
HO/SmsConfig.aspx	2	pr_sms_getsystemvalues;pr_sms_savesystemvalues
HO/SubMemSubStatus.aspx	2	pr_b_loadsubmemfiles;pr_b_submemsubstatus
HO/Sys_AccessControl.aspx	1	pr_sys_accesscontrol
HO/sys_AutoProcessConfig.aspx	1	pr_sys_getautoprocessinfo
HO/VerifyAadhar.aspx	1	pr_kyc_isaadhaarpanalreadyverified
