Module	SubArea	Screen	RelativePath	Category	Complexity	Score	LegacyBucket	AspxLoc	VbLoc	Controls	Grids	Inputs	Buttons	ProcCount	Writes	ClientAssets	MigratedTo	Procs
EmployeeDemand		EmployeeDemandImport.aspx	EmployeeDemand/EmployeeDemandImport.aspx	CRUD master	Medium	6.14	Medium	181	285	36	2	2	6	2	yes			pr_x_generatedemandexcel;pr_x_importemployeedemand
EmployeeDemand		EmployeeDemandModify.aspx	EmployeeDemand/EmployeeDemandModify.aspx	CRUD master	Medium	8.15	Medium	204	742	30	1	1	4	2	yes			pr_x_employeedemandmodify;pr_x_getemployeedemandmodifyamount
EmployeeDemand		EmployeeDepartment.aspx	EmployeeDemand/EmployeeDepartment.aspx	CRUD master	Medium	4.71	Medium	87	449	23	1	3	6	0	yes			
EmployeeDemand		EmployeeMemberTransfer.aspx	EmployeeDemand/EmployeeMemberTransfer.aspx	Transaction / Entry	Medium	7.13	Medium	149	811	23	1	1	6	0	yes			
EmployeeDemand		EMPMemberResignTransaction.aspx	EmployeeDemand/EMPMemberResignTransaction.aspx	Transaction / Entry	Complex	19.27	Medium	299	1163	93	6	3	18	5	yes			pr_sb_getmemberclosetrangeneration;pr_x_deletememberclosetransaction;pr_x_getmemberclosetrandetail;pr_x_memberclosetrangeneration;pr_x_memberclosetranpassing
EmployeeDemand		EmpMemberSalaryTransaction.aspx	EmployeeDemand/EmpMemberSalaryTransaction.aspx	Transaction / Entry	Complex	12.1	Medium	179	1035	40	3	1	7	2	yes			pr_x_membersalaryperkstranauth;pr_x_membersalaryperkstransaction
EmployeeDemand		EmpMemDemandPostConfig.aspx	EmployeeDemand/EmpMemDemandPostConfig.aspx	CRUD master	Medium	6.25	Medium	139	583	24	1	2	6	1	yes			pr_b_empmemdemandpostconfig
EmployeeDemand		EMPRecoveryMaintenance.aspx	EmployeeDemand/EMPRecoveryMaintenance.aspx	CRUD master	Medium	5.64	Medium	157	426	20	1	3	3	2	yes			pr_x_displayempdemandforrec;pr_x_saveemprecoveryamt
EmployeeDemand		EmpSocBranch.aspx	EmployeeDemand/EmpSocBranch.aspx	CRUD master	Medium	8.33	Medium	199	895	39	1	9	6	0	yes			
EmployeeDemand		EmpSocCompMaster.aspx	EmployeeDemand/EmpSocCompMaster.aspx	CRUD master	Medium	7.09	Medium	184	511	42	1	9	6	2	yes			pr_g_getcity;pr_g_getstate
EmployeeDemand		EmpSocDemandConfiguration.aspx	EmployeeDemand/EmpSocDemandConfiguration.aspx	CRUD master	Complex	14.61	Medium	284	1718	59	1	20	6	0	yes			
EmployeeDemand		EmpSocDivision.aspx	EmployeeDemand/EmpSocDivision.aspx	CRUD master	Medium	7.69	Medium	218	590	44	1	9	6	2	yes			pr_g_getcity;pr_g_getstate
EmployeeDemand		EmpSocMember.aspx	EmployeeDemand/EmpSocMember.aspx	CRUD master	Complex	15.15	Medium	348	1685	78	1	12	6	0	yes			
EmployeeDemand		EmpSocRegion.aspx	EmployeeDemand/EmpSocRegion.aspx	CRUD master	Medium	6.73	Medium	183	679	35	1	9	6	0	yes			
EmployeeDemand		EmpSocSateliteOffice.aspx	EmployeeDemand/EmpSocSateliteOffice.aspx	CRUD master	Medium	8.53	Medium	233	703	46	1	9	6	2	yes			pr_g_getcity;pr_g_getstate
EmployeeDemand		EMPSuretyDemandDepositAccount.aspx	EmployeeDemand/EMPSuretyDemandDepositAccount.aspx	Transaction / Entry	Medium	7.11	Medium	158	682	29	1	3	6	1	yes			pr_x_getsuretyloanaccount
EmployeeDemand		UpdateEmployeeDemadAmount.aspx	EmployeeDemand/UpdateEmployeeDemadAmount.aspx	CRUD master	Medium	6.89	Medium	224	643	30	1	4	2	1	yes			pr_x_displayemployeedemandmodify
external_api	aadhaar	aadhaar_verify_handler.aspx	external_api/aadhaar/aadhaar_verify_handler.aspx	Handler / API / Ajax	Simple	1.33	Medium	16	199	0	0	0	0	0	yes			
external_api	cust_onboard	customer_onboarding_handler.aspx	external_api/cust_onboard/customer_onboarding_handler.aspx	Handler / API / Ajax	Simple	1.33	Medium	16	199	0	0	0	0	0	yes			
external_api	DL	drivinglicense_verify_handler.aspx	external_api/DL/drivinglicense_verify_handler.aspx	Handler / API / Ajax	Simple	1.11	Medium	16	167	0	0	0	0	0	yes			
external_api	pan	pan_verify_handler.aspx	external_api/pan/pan_verify_handler.aspx	Handler / API / Ajax	Simple	1.33	Medium	16	199	0	0	0	0	0	yes			
external_api	votercard	votercard_verify_handler.aspx	external_api/votercard/votercard_verify_handler.aspx	Handler / API / Ajax	Simple	1.33	Medium	16	199	0	0	0	0	0	yes			
fp		a_logintype.aspx	fp/a_logintype.aspx	Handler / API / Ajax	Simple	1.29	Medium	10	16	2	0	0	0	1		yes		pr_a_logintypeformoperation
fp		fp_auth_handler.aspx	fp/fp_auth_handler.aspx	Handler / API / Ajax	Medium	4.61	Medium	17	332	0	0	0	0	4				pr_fp_getfptempate;pr_fp_getuserlist;pr_fp_registeruser;pr_g_verifyusercredential
fp		fp_authorize.aspx	fp/fp_authorize.aspx	Handler / API / Ajax	Simple	0.67	Medium	12	13	2	0	0	0	0		yes		
fp		login_handler.aspx	fp/login_handler.aspx	Handler / API / Ajax	Medium	4.76	Medium	20	354	0	0	0	0	4	yes			pr_a_getdisconnectuserauthentication;pr_g_authenticateuser;pr_g_disconnectuser;pr_g_getconnectedusers
fp	mfs100	fpui.aspx	fp/mfs100/fpui.aspx	Handler / API / Ajax	Simple	2.39	Medium	20	271	2	0	0	0	0	yes	yes		
Helpdesk		hd_AllRequest.aspx	Helpdesk/hd_AllRequest.aspx	CRUD master	Complex	17.08	Medium	361	1320	52	1	11	7	9	yes			pr_al_getstatusofrequestid;pr_getloanappinfo;pr_hd_getallrequest;pr_hd_getchequebookissuedstatus;pr_r_hd_requestdetails;pr_selectloanappdetails;pr_x_chequestoppaymentsave;pr_x_passchequebook;pr_x_savechequebookdetails
Helpdesk		hd_AllRequestInfo.aspx	Helpdesk/hd_AllRequestInfo.aspx	Search / List / Inquiry	Medium	11.84	Medium	825	654	122	1	0	9	3				pr_hd_allrequestdetails;pr_hd_allrequestfullchequedetails;pr_hd_requeststoppaymentrangeofcheque
Helpdesk		hd_ApprovalAuthority.aspx	Helpdesk/hd_ApprovalAuthority.aspx	CRUD master	Medium	11.99	Medium	206	796	47	3	5	4	4	yes			pr_hd_approvalauthority;pr_hd_getattacheduser;pr_hd_getusersforapprovallevel;pr_hd_savedefaultmenuv2
