Procedure	ScreenCount	Modules	Screens
pr_x_getaccountdetails	22	Lockers,RetailBanking	Lockers/k_LockerIssue.aspx;Lockers/k_LockerReturn.aspx;RetailBanking/b_AccHoldingAmount.aspx;RetailBanking/loanRepayment.aspx;RetailBanking/WriteOffAccount.aspx;RetailBanking/WriteOffRecovery.aspx;RetailBanking/x_ChequeStopPaymentDetails.aspx;RetailBanking/AgriLoan/AgriLoanAccClosing.aspx;RetailBanking/AgriLoan/LoanRecovery.aspx;RetailBanking/Clearing/AccountDialog.aspx;RetailBanking/Clearing/InwardStatusRevert.aspx;RetailBanking/Clearing/consclearing/CTSOutwardTranONUS.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV2.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/x_CashBatchTransaction.aspx;RetailBanking/Transaction/x_IncomeSTtrasaction.aspx;RetailBanking/Transaction/x_ManyToManyTransactionIBT_V1.aspx;RetailBanking/Transaction/x_MICRECSPaymentProcessFilePopup.aspx;RetailBanking/Transaction/x_transactionv1.aspx;RetailBanking/Transaction/userControls/ClientInfo.ascx
pr_g_rupeesinwords	21	HO,Reports,RetailBanking	HO/Retailbanking/Cash/x_CashRemittanceOrder.aspx;Reports/RetailBanking/ReportOptions.aspx;Reports/RetailBanking/New RetailBanking Report/AllInterestCertificate.aspx;Reports/RetailBanking/New RetailBanking Report/ReportSettings.aspx;RetailBanking/PrintDDPO.aspx;RetailBanking/VoucherPrinting.aspx;RetailBanking/Account/callDepositAccount.aspx;RetailBanking/Account/SecurityInvestmentAccount.aspx;RetailBanking/Printing/LoanRepaymentReceipt.aspx;RetailBanking/Printing/RecPrinting.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV2.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/x_InvestmentClosingTransaction.aspx;RetailBanking/Transaction/x_InvestmentMoneyTrade.aspx;RetailBanking/Transaction/x_InvestmentMultipleSaleTransaction.aspx;RetailBanking/Transaction/x_InvestmentPurchaseRepo.aspx;RetailBanking/Transaction/x_InvestmentTransaction.aspx;RetailBanking/Transaction/x_LoanFDSettlement.aspx;RetailBanking/Transaction/x_ManyToManyTransactionIBT_V1.aspx
pr_x_getaccounts	21	Reports,RetailBanking,UserControls	Reports/RetailBanking/Account/AccountLedger.aspx;RetailBanking/AccountViewer.aspx;RetailBanking/mbank_upicoll_qr_sound_Terminal.aspx;RetailBanking/Account/AgriLTMTLoan.aspx;RetailBanking/Account/c_CCODEnhancement.aspx;RetailBanking/Account/c_Loan.aspx;RetailBanking/Account/c_LoanSecurity.aspx;RetailBanking/Account/CCODRenewal.aspx;RetailBanking/Account/depositAccount.aspx;RetailBanking/AgriLoan/SocietyCreation.aspx;RetailBanking/Clearing/addOutwardClearingTransaction.aspx;RetailBanking/dormant/DormantReActivation.aspx;RetailBanking/Transaction/x_DividendTransaction.aspx;RetailBanking/Transaction/x_InvestmentClosingTransaction.aspx;RetailBanking/Transaction/x_InvestmentRenewalTransaction.aspx;RetailBanking/Transaction/x_InvestmentTransaction.aspx;RetailBanking/Utilities/c_RepaymentSchedule.aspx;UserControls/RecordSelector.aspx;UserControls/RecordSelectorV2.aspx;UserControls/TssiplRecordSelector.ascx;UserControls/TssiplRecordSelectorV2.ascx
pr_c_getchagestype	18	RetailBanking	RetailBanking/InterestActivity/x_NonOperativeInterestActivity_V2.aspx;RetailBanking/InterestActivity/Charges/ATMServiceChargePosting_Calc.aspx;RetailBanking/InterestActivity/Charges/c_DormantCharges_V2.aspx;RetailBanking/InterestActivity/Charges/CashWithdrawalCharges_Calc.aspx;RetailBanking/InterestActivity/Charges/cc_NonRenewalcharges_calc_V2.aspx;RetailBanking/InterestActivity/Charges/CC_Unutilized_Limit_calc.aspx;RetailBanking/InterestActivity/Charges/Charges_Calc_Posting_V2.aspx;RetailBanking/InterestActivity/Charges/NonComplianceCharges_Calc_Posting.aspx;RetailBanking/InterestActivity/Charges/NonStockStmtCharges_Calc_V2.aspx;RetailBanking/InterestActivity/Charges/PigmyToLoanTrfCharges.aspx;RetailBanking/InterestActivity/Charges/QRCharges_Calc_Posting.aspx;RetailBanking/InterestActivity/Charges/SMSChargesCalculation_V2.aspx;RetailBanking/InterestActivity/Charges/StationaryCharges_Calc_PostingV1.aspx;RetailBanking/InterestActivity/Charges/x_Charge_Calc_ForMinimumBalanceProvision_V2.aspx;RetailBanking/InterestActivity/Charges/x_ChargesSelector.aspx;RetailBanking/InterestActivity/Charges/x_CreditMonCharges_Calc.aspx;RetailBanking/InterestActivity/Charges/x_IMPSChargeProvision.aspx;RetailBanking/InterestActivity/Charges/x_LoanInsuranceCharges_Calc.aspx
pr_g_getcity	16	EmployeeDemand,HO,RetailBanking	EmployeeDemand/EmpSocCompMaster.aspx;EmployeeDemand/EmpSocDivision.aspx;EmployeeDemand/EmpSocSateliteOffice.aspx;HO/b_AccountEmailMap.aspx;HO/b_ClientCKYCR_V1.aspx;HO/b_ClientCKYCR_V3.aspx;HO/b_ClientV1.aspx;HO/KYCClientPopup.aspx;HO/KYCClientPopup_V1.aspx;HO/ProjectFormulation/p_LoanCase_v1.aspx;RetailBanking/Account/bankCurrentAccount.aspx;RetailBanking/Account/callDepositAccount.aspx;RetailBanking/Account/depositAccount.aspx;RetailBanking/Account/generalAccount.aspx;RetailBanking/KYC/kyc_ClientAdditionalDetails.aspx;RetailBanking/KYC/KYCClientPopup_V1.aspx
pr_cts_getcellconstringname	15	Reports,RetailBanking	Reports/SHGReport/SHGReport.aspx;RetailBanking/ATM/atm_euronet_reports.aspx;RetailBanking/ATM/atm_reports.aspx;RetailBanking/ATM/en_export_cif.aspx;RetailBanking/ATM/en_InstaExport_cif.aspx;RetailBanking/Clearing/b_CTSIwClearingContraTrans.aspx;RetailBanking/Clearing/b_CTSIwReturnContraTrans.aspx;RetailBanking/Clearing/b_inwardClgFileUpdate.aspx;RetailBanking/Clearing/b_inwardClgFileV2.aspx;RetailBanking/Clearing/CTSChequeShifting.aspx;RetailBanking/Clearing/CTSClearingLotExport.aspx;RetailBanking/Clearing/InwardStatusRevert.aspx;RetailBanking/Clearing/outward_clear.aspx;RetailBanking/Clearing/consclearing/CtsIwFileImport.aspx;RetailBanking/Clearing/consclearing/outward_clear_v1.aspx
pr_b_getmonthlastworkingdate	14	RetailBanking	RetailBanking/InterestActivity/Charges/c_DormantCharges_V2.aspx;RetailBanking/InterestActivity/Charges/cc_NonRenewalcharges_calc_V2.aspx;RetailBanking/InterestActivity/Charges/CC_Unutilized_Limit_calc.aspx;RetailBanking/InterestActivity/Charges/Charges_Calc_Posting_V2.aspx;RetailBanking/InterestActivity/Charges/NonStockStmtCharges_Calc_V2.aspx;RetailBanking/InterestActivity/Charges/SMSChargesCalculation_V2.aspx;RetailBanking/InterestActivity/Charges/x_Charge_Calc_ForMinimumBalanceProvision_V2.aspx;RetailBanking/InterestActivity/Charges/x_CreditMonCharges_Calc.aspx;RetailBanking/InterestActivity/Charges/x_IMPSChargeProvision.aspx;RetailBanking/InterestActivity/FD/fd_int_calc_V1.aspx;RetailBanking/InterestActivity/lnccod/InterestRebate_calc.aspx;RetailBanking/InterestActivity/lnccod/lnccod_int_calc_V1.aspx;RetailBanking/InterestActivity/rd/rd_int_calc_V1.aspx;RetailBanking/InterestActivity/sb/sb_int_calc_V2.aspx
pr_b_lockunlockaccount	14	RetailBanking	RetailBanking/Account/AgriLTMTLoan.aspx;RetailBanking/Account/bankCurrentAccount.aspx;RetailBanking/Account/c_CCODEnhancement.aspx;RetailBanking/Account/c_Loan.aspx;RetailBanking/Account/c_LoanSecurity.aspx;RetailBanking/Account/c_ReducingCCRenewal.aspx;RetailBanking/Account/callDepositAccount.aspx;RetailBanking/Account/CCODRenewal.aspx;RetailBanking/Account/generalAccount.aspx;RetailBanking/Account/SecurityViewer.aspx;RetailBanking/Transaction/LienDetails.aspx;RetailBanking/Transaction/x_DailyDepositTransactionFromToDateAllnew.aspx;RetailBanking/Transaction/x_LockRelease.aspx;RetailBanking/Transaction/x_transaction_js_ibt_cash_handler.aspx
pr_ft_getifsccode	14	Inventory,RetailBanking	Inventory/i_SupplierPayment.aspx;RetailBanking/c_LoanDisbursement.aspx;RetailBanking/Account/depositAccount.aspx;RetailBanking/IMPS/IMPS_Outward.aspx;RetailBanking/pmby/APY_DeathClaim.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV2.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/b_AccountPartialClosingTransaction.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_NonOprClaim.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx
pr_g_getaccountheadv2	14	RetailBanking	RetailBanking/AgriLoan/AgriLoanAccClosing.aspx;RetailBanking/AgriLoan/c_LoandisbursementAgri.aspx;RetailBanking/AgriLoan/LoanRecovery.aspx;RetailBanking/AgriLoan/PACSAccOpeningBULK.aspx;RetailBanking/Transaction/b_AccountClosingTransactionNew.aspx;RetailBanking/Transaction/b_AccountPartialClosingTransaction.aspx;RetailBanking/Transaction/b_dailyClientAccountRenewal.aspx;RetailBanking/Transaction/DepAccountHistory.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_FDRenewalTransaction.aspx;RetailBanking/Transaction/x_LoanFDSettlement.aspx;RetailBanking/Transaction/x_ManyToManyTransactionIBT_V1.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx
pr_re_fwgetbatchcycle	13	Reconciliation,Reports	Reconciliation/re_FWImportDSRExcelFile.aspx;Reconciliation/re_FWImportEntityFile.aspx;Reconciliation/re_FWImportExcelFile.aspx;Reconciliation/re_FWImportExcelFileMulti.aspx;Reconciliation/re_FWImportSwitchExcelFile.aspx;Reconciliation/re_FWImportSwitchExcelFileMulti.aspx;Reconciliation/re_FWImportTextFile.aspx;Reconciliation/re_FWImportTextFileMulti.aspx;Reconciliation/re_FWSettlementImportMulti.aspx;Reconciliation/re_FWTransactionDaily.aspx;Reports/Reconciliation/re_FwDayBatchReport.aspx;Reports/Reconciliation/re_FWSettlementSummaryComparisionReport.aspx;Reports/Reconciliation/re_FWSettlementSummaryReport.aspx
pr_ft_savemsg	12	RetailBanking	RetailBanking/c_LoanDisbursement.aspx;RetailBanking/d_fdRtgsProcess.aspx;RetailBanking/RTGS/Iftas24By7Neft.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/RTGS/rtgspaymentbatch.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/b_AccountPartialClosingTransaction.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_FDRenewalTransaction.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx
pr_g_checkreportexist	12	Reports	Reports/RBI Report/RBIReport.aspx;Reports/RBI Report/rp_VariousRatios.aspx;Reports/RetailBanking/DCBS/DCBS.aspx;Reports/RetailBanking/NBFC_V1/NBFC.aspx;Reports/RetailBanking/New RetailBanking Report/DepositInsuranceV1.aspx;Reports/RetailBanking/OSCStatements/OSCShowReport.aspx;Reports/RetailBanking/OSCStatementsV1/OSCShowReportV1.aspx;Reports/RetailBanking/OSSStatement/st_ViewReports.aspx;Reports/RetailBanking/RBI Group/rp_GroupValuesTreeView.aspx;Reports/RetailBanking/RBI Group/RBIStatement1to10/RBIAuditASReports/RBIAdditionalStatementReoprts.aspx;Reports/RetailBanking/UtilityReports/UtilityReports.aspx;Reports/RetailBanking/XBRL/XBRL.aspx
pr_ft_savemsgiso20022	11	RetailBanking	RetailBanking/c_LoanDisbursement.aspx;RetailBanking/d_fdRtgsProcess.aspx;RetailBanking/RTGS/Iftas24By7Neft.aspx;RetailBanking/RTGS/rtgspaymentbatch.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/b_AccountPartialClosingTransaction.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_FDRenewalTransaction.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx
pr_g_getpacsdetails	11	Reports,RetailBanking	Reports/RetailBanking/ABCDReport.aspx;Reports/RetailBanking/LoanOstODReport.aspx;RetailBanking/Account/AgriLTMTLoan.aspx;RetailBanking/Account/c_Loan.aspx;RetailBanking/AgriLoan/AgriLoanAccClosing.aspx;RetailBanking/AgriLoan/g_PACSIRChart.aspx;RetailBanking/AgriLoan/LoanRecovery.aspx;RetailBanking/AgriLoan/PACSMember.aspx;RetailBanking/AgriLoan/SocietyCreation.aspx;RetailBanking/AgriLoan/SocietyLoan.aspx;RetailBanking/AgriLoan/x_PACSMemLedOpening.aspx
pr_g_getpacsmembers	11	Reports,RetailBanking	Reports/AgriLoans/AgriDisbReport.aspx;RetailBanking/Account/AgriLTMTLoan.aspx;RetailBanking/Account/c_Loan.aspx;RetailBanking/AgriLoan/c_LoandisbursementAgri.aspx;RetailBanking/AgriLoan/g_PACSTransfer.aspx;RetailBanking/AgriLoan/LoanRecovery.aspx;RetailBanking/AgriLoan/PACSMember.aspx;RetailBanking/AgriLoan/SocietyLoan.aspx;RetailBanking/AgriLoan/x_PACSMemberDetail.aspx;RetailBanking/AgriLoan/x_PACSMemLedOpening.aspx;RetailBanking/AgriLoan/x_PACSRepayMemTrf.aspx
pr_x_getaccountsv2	11	RetailBanking	RetailBanking/Account/DailyDepositAgentAccount.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/Transaction/DepAccountHistory.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_FDRenewalTransaction.aspx;RetailBanking/Transaction/x_LoanFDSettlement.aspx;RetailBanking/Transaction/x_ManyToManyTransactionIBT_V1.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx;RetailBanking/Transaction/x_transaction_js_cash_handler.aspx;RetailBanking/Transaction/x_transaction_js_transfer_handler.aspx
pr_x_getfundtrandetails	11	RetailBanking	RetailBanking/c_LoanDisbursement.aspx;RetailBanking/d_fdRtgsProcess.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/RTGS/rtgspaymentbatch.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/b_AccountPartialClosingTransaction.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_FDRenewalTransaction.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx
pr_x_getrsqdailydepositagentnumber	11	Reports,RetailBanking	Reports/RetailBanking/New RetailBanking Report/ReportSettings.aspx;RetailBanking/b_DailyClientAccountStatus.aspx;RetailBanking/b_PigmyCommisionMapping.aspx;RetailBanking/Account/depositAccount.aspx;RetailBanking/Transaction/b_AccountClosingTransactionNew.aspx;RetailBanking/Transaction/b_AccountPartialClosingTransaction.aspx;RetailBanking/Transaction/b_dailyClientAccountRenewal.aspx;RetailBanking/Transaction/DailyDepositBalanceTransferNew.aspx;RetailBanking/Transaction/x_DailyDepositTransactionFromToDateAllnew.aspx;RetailBanking/Transaction/x_PigmyCommCalculateNewV1.aspx;RetailBanking/Transaction/x_TransactionOtherDetails.aspx
pr_ft_checkduplicate	10	RetailBanking	RetailBanking/c_LoanDisbursement.aspx;RetailBanking/d_fdRtgsProcess.aspx;RetailBanking/RTGS/rtgspaymentbatch.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/b_AccountPartialClosingTransaction.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_FDRenewalTransaction.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx
pr_ft_checkduplicateiso20022	10	RetailBanking	RetailBanking/c_LoanDisbursement.aspx;RetailBanking/d_fdRtgsProcess.aspx;RetailBanking/RTGS/rtgspaymentbatch.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/b_AccountPartialClosingTransaction.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_FDRenewalTransaction.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx
pr_g_checkisfinalreport	10	Reports	Reports/RBI Report/RBIReport.aspx;Reports/RBI Report/rp_VariousRatios.aspx;Reports/RetailBanking/DCC_RBI_Report/DCC_RBI_Report.aspx;Reports/RetailBanking/New RetailBanking Report/DepositInsuranceV1.aspx;Reports/RetailBanking/OSCStatements/OSCShowReport.aspx;Reports/RetailBanking/OSSStatement/st_ViewReports.aspx;Reports/RetailBanking/RBI Group/rp_GroupValuesTreeView.aspx;Reports/RetailBanking/RBI Group/RBIStatement1to10/RBIAuditASReports/RBIAdditionalStatementReoprts.aspx;Reports/RetailBanking/UtilityReports/UtilityReports.aspx;Reports/RetailBanking/XBRL/XBRL.aspx
pr_x_getfundtrandetailsiso20022	10	RetailBanking	RetailBanking/c_LoanDisbursement.aspx;RetailBanking/d_fdRtgsProcess.aspx;RetailBanking/RTGS/rtgspaymentbatch.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/b_AccountPartialClosingTransaction.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_FDRenewalTransaction.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx
pr_x_r_getcustomernamebychartofaccount	10	Helpdesk,Reports,RetailBanking	Helpdesk/MapHelpDeskAccounts.aspx;Reports/RetailBanking/AccountBalancingReport.aspx;Reports/RetailBanking/ReportOptions.aspx;Reports/RetailBanking/ReportOptionsDailyBook.aspx;Reports/RetailBanking/Reports.aspx;Reports/RetailBanking/Account/AccountLedger.aspx;Reports/RetailBanking/Account/AccountReportSetting.aspx;Reports/RetailBanking/New RetailBanking Report/ReportSettings.aspx;RetailBanking/VoucherPrinting.aspx;RetailBanking/Transaction/x_TransactionOtherDetails.aspx
pr_x_sb_getinvtran	10	RetailBanking	RetailBanking/Transaction/x_GovSecInvestmentCategoryTransfer.aspx;RetailBanking/Transaction/x_GovSecInvestmentEarmark.aspx;RetailBanking/Transaction/x_GovSecInvestmentTransfer.aspx;RetailBanking/Transaction/x_GovtSecInvestmentImportTransaction.aspx;RetailBanking/Transaction/x_investmentAmortisationCalc.aspx;RetailBanking/Transaction/x_InvestmentInterestSettlementTransaction.aspx;RetailBanking/Transaction/x_InvestmentMoneyTrade.aspx;RetailBanking/Transaction/x_InvestmentMultipleSaleTransaction.aspx;RetailBanking/Transaction/x_InvestmentRenewalTransaction.aspx;RetailBanking/Transaction/x_InvestmentTransaction.aspx
pr_b_getjointnames	9	Customer360,RetailBanking	Customer360/JointDet360.aspx;RetailBanking/AccountClientUpdate.aspx;RetailBanking/x_chequeBookPrintData.aspx;RetailBanking/Clearing/addOutwardClearingTransaction.aspx;RetailBanking/Clearing/consclearing/CentralizedOutwardClearingTransaction.aspx;RetailBanking/Transaction/AccountDetailsView.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_ManyToManyTransactionIBT_V1.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx
pr_h_getemployeeslist	9	HO,Hr,Inventory,RetailBanking	HO/Admin/A_User.aspx;Hr/h_LeaveApplication.aspx;Hr/h_PromHistory.aspx;Hr/h_Promotion.aspx;Hr/h_TransferHistory.aspx;Inventory/i_InvAllocation.aspx;Inventory/i_InventoryRegister.aspx;Inventory/i_InvRequest.aspx;RetailBanking/b_EmployeeSignature.aspx
pr_x_cashagainsttdsamount	9	RetailBanking	RetailBanking/Transaction/b_AccountClosingTransactionNew.aspx;RetailBanking/Transaction/b_dailyClientAccountRenewal.aspx;RetailBanking/Transaction/x_CashBatchTransaction.aspx;RetailBanking/Transaction/x_FdPayableCashPayment.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx;RetailBanking/Transaction/x_transaction_js_cash_handler.aspx;RetailBanking/Transaction/x_transactionv1.aspx
pr_x_duplicateservicecharges	9	Reports,RetailBanking	Reports/RetailBanking/AccountStatement.aspx;Reports/RetailBanking/LoanAccountStatement.aspx;Reports/RetailBanking/LoanReport.aspx;Reports/RetailBanking/PolicyReport.aspx;Reports/RetailBanking/ReportOptions.aspx;Reports/RetailBanking/Reports.aspx;RetailBanking/PassBookPrinting.aspx;RetailBanking/x_ChequeBook.aspx;RetailBanking/SI/x_StandingInstruction.aspx
pr_x_getaccountheadbalance	9	RetailBanking	RetailBanking/Transaction/AccountDetailsView.aspx;RetailBanking/Transaction/x_BatchTransactionTemplate.aspx;RetailBanking/Transaction/x_CashBatchTransaction.aspx;RetailBanking/Transaction/x_DividendTransaction.aspx;RetailBanking/Transaction/x_ManyToManyTransactionIBT_V1.aspx;RetailBanking/Transaction/x_transaction_js_cash_handler.aspx;RetailBanking/Transaction/x_transaction_js_ibt_cash_handler.aspx;RetailBanking/Transaction/x_transaction_js_ibt_trf_handler.aspx;RetailBanking/Transaction/x_transaction_js_transfer_handler.aspx
pr_x_sb_getfdrautotransfertransaction	9	RetailBanking	RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_FDRenewalTransaction.aspx;RetailBanking/Transaction/x_GovSecInvestmentCategoryTransfer.aspx;RetailBanking/Transaction/x_GovSecInvestmentEarmark.aspx;RetailBanking/Transaction/x_GovSecInvestmentTransfer.aspx;RetailBanking/Transaction/x_investmentAmortisationCalc.aspx;RetailBanking/Transaction/x_InvestmentInterestSettlementTransaction.aspx;RetailBanking/Transaction/x_InvestmentMultipleSaleTransaction.aspx;RetailBanking/Transaction/x_InvestmentTransaction.aspx
pr_x_transaction	9	RetailBanking	RetailBanking/SI/standingInstructionProcessing.aspx;RetailBanking/Transaction/AccountDetailsView.aspx;RetailBanking/Transaction/x_CashBatchTransaction.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_FDRenewalTransaction.aspx;RetailBanking/Transaction/x_LoanFDSettlement.aspx;RetailBanking/Transaction/x_ManyToManyTransactionIBT_V1.aspx;RetailBanking/Transaction/x_transaction_js_cash_handler.aspx;RetailBanking/Transaction/x_transaction_js_ibt_cash_handler.aspx
pr_aml_getdata	8	Reports	Reports/RetailBanking/AML/AML_WhiteListMarking.aspx;Reports/RetailBanking/AML/AmlWorkingDateReports.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV1.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV1_WithExcel.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV2.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV3.aspx;Reports/RetailBanking/AML/BranchAMLMarking.aspx;Reports/RetailBanking/AML/PrincipalOfficerAMLMarking.aspx
pr_aml_getreportlist	8	Reports	Reports/RetailBanking/AML/AML_WhiteListMarking.aspx;Reports/RetailBanking/AML/AMLSettings.aspx;Reports/RetailBanking/AML/AmlWorkingDateReports.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV1.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV1_WithExcel.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV2.aspx;Reports/RetailBanking/AML/BranchAMLMarking.aspx;Reports/RetailBanking/AML/PrincipalOfficerAMLMarking.aspx
pr_b_getbanklist	8	HO,RetailBanking	HO/Bank/b_BankList.aspx;HO/Bank/b_BranchList.aspx;RetailBanking/MinorTurnMajorLetterTemplate.aspx;RetailBanking/UserDefLetterTemplateCons.aspx;RetailBanking/x_ClientKYCLetterTemplate.aspx;RetailBanking/x_OverdueLetterTemplate.aspx;RetailBanking/x_WelcomeLetterTemplate.aspx;RetailBanking/Account/bankCurrentAccount.aspx
pr_b_isaccountlocked	8	RetailBanking	RetailBanking/Account/AgriLTMTLoan.aspx;RetailBanking/Account/bankCurrentAccount.aspx;RetailBanking/Account/c_CCODEnhancement.aspx;RetailBanking/Account/c_Loan.aspx;RetailBanking/Account/c_ReducingCCRenewal.aspx;RetailBanking/Account/callDepositAccount.aspx;RetailBanking/Account/CCODRenewal.aspx;RetailBanking/Account/generalAccount.aspx
pr_b_ispannoexists	8	RetailBanking	RetailBanking/c_LoanDisbursement.aspx;RetailBanking/loanRepayment.aspx;RetailBanking/AgriLoan/AgriLoanAccClosing.aspx;RetailBanking/AgriLoan/c_LoandisbursementAgri.aspx;RetailBanking/AgriLoan/LoanRecovery.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/Transaction/AccountDetailsView.aspx;RetailBanking/Transaction/x_transaction_js_cash_handler.aspx
pr_bw_getprocessstatus	8	Reconciliation,Reports	Reconciliation/re_FWImportTrustLedger.aspx;Reports/RBI Report/AnnualInfReportForm61A.aspx;Reports/RBI Report/AnnualInfReportForm61A_SFT016.aspx;Reports/RBI Report/CIBIL.aspx;Reports/RBI Report/rp_DatabankDiagnose.aspx;Reports/RetailBanking/AML/AMLDataScheduler.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV1.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV1_WithExcel.aspx
pr_databankdates	8	Reports	Reports/RBI Report/RBIDataFilterView.aspx;Reports/RetailBanking/New RetailBanking Report/DepositInsuranceV1.aspx;Reports/RetailBanking/New RetailBanking Report/ReportSettings.aspx;Reports/RetailBanking/NPA/ClassificationNPA.aspx;Reports/RetailBanking/NPA/NPAReportSettings.aspx;Reports/RetailBanking/NPA/NPASummarybyCOA.aspx;Reports/RetailBanking/OSSStatement/st_ViewReports.aspx;Reports/RetailBanking/RBI Group/rp_GroupValuesTreeView.aspx
pr_g_getglobalclientbyid	8	HO,RetailBanking	HO/b_ClientCKYCR_V1.aspx;HO/b_ClientCKYCR_V3.aspx;HO/b_ClientV1.aspx;HO/KYCClientPopup.aspx;HO/Bank/b_MergeClient.aspx;RetailBanking/AccountClientUpdate.aspx;RetailBanking/Account/depositAccount.aspx;RetailBanking/Account/SecurityInvestmentAccount.aspx
pr_g_savelocalclient	8	HO,RetailBanking	HO/b_ClientCKYCR_V1.aspx;HO/b_ClientCKYCR_V3.aspx;HO/b_ClientV1.aspx;HO/KYCClientPopup.aspx;HO/Bank/b_MergeClient.aspx;RetailBanking/AccountClientUpdate.aspx;RetailBanking/Account/depositAccount.aspx;RetailBanking/Account/SecurityInvestmentAccount.aspx
